ID,score
238183,3.436440678
260966,2.441176471
36412,3.354166667
139930,3.375451264
66384,3.384615385
25125,3.356164384
203181,3.340236686
877,2.621890547
43963,3.012658228
25360,2.601809955
89826,3.32972973
12054,2.677777778
75572,2.6910299
770432,2.599118943
447206,3.115384615
349247,2.851711027
75364,3.48013245
14451,3.095238095
90008,3.218120805
101,3.41509434
839949,3.04368932
18899,3.152892562
7941,3.333333333
250735,3.484615385
335172,2.024137931
234467,3.026845638
8637,3.160583942
836509,3.190954774
1827,3.446428571
320124,2.905940594
596072,3.282758621
427191,2.440329218
314733,3.480916031
738337,3.452830189
39160,3.234234234
7430,3.449814126
109194,3.456
155922,2.819875776
77397,3.391634981
147836,3.385245902
556210,2.933014354
7088,3.375816993
242758,2.924398625
115898,3.292207792
67574,3.429319372
28784,3.446902655
94921,3.3930131
452788,3.196923077
821851,3.466321244
37224,3.460732984
85184,3.380597015
27166,3.208510638
377507,3.490291262
239173,3.483974359
29777,3.330612245
176118,2.63740458
257180,3.2
23756,2.719626168
10237,2.626315789
921,2.834170854
419338,3.3
685212,2.882653061
1185,3.286458333
112513,3.135849057
839986,3.458937198
157203,3.394736842
8709,2.302491103
286266,3.134110787
765274,2.884816754
662786,3.469135802
28077,3.027777778
44289,2.200873362
664927,3.484076433
36283,3.005181347
814948,3.490654206
500805,2.621468927
925149,3.417266187
8271,3.201465201
758699,3.448275862
415569,3.459677419
675737,3.32
763387,2.872180451
41344,3.173728814
449223,3.496503497
913022,2.538922156
647403,3.072463768
449095,3.442857143
913053,2.37804878
203149,3.230769231
531003,3.473684211
664870,3.113300493
1837,3.448430493
332710,2.5
122313,2.891986063
183915,3.074576271
478899,3.313492063
859581,2.860576923
409319,2.950943396
779987,2.83982684
777938,3.493506494
35848,3.299559471
913019,2.508982036
66281,3.213483146
413092,3.189427313
553287,2.475728155
816962,3.405405405
236479,3.270531401
714648,3.23364486
114432,3.293877551
69614,3.440433213
82795,3.415686275
12968,3.272727273
664941,3.456410256
268762,3.21402214
673890,2.620689655
9279,3.418699187
508286,3.140151515
208405,3.443181818
467663,3.09478673
24421,3.320675105
385189,3.361038961
308403,3.40952381
4265,2.794573643
723480,2.576923077
66376,3.306273063
596187,2.965517241
282740,3.264317181
130450,3.457564576
319204,3.428571429
721206,3.456953642
272924,3.225247525
374865,3.3
927517,3.105022831
460267,2.7827051
15459,3.124378109
350464,3.266423358
595099,2.717171717
799779,3.421568627
717415,3.395480226
56057,3.46184739
320058,3.387234043
71261,3.47080292
18394,2.838983051
65464,3.353383459
108464,3.304123711
763201,2.8671875
32159,3.029411765
2349,3.482300885
484048,3.029411765
43636,3.234567901
183993,3.093023256
821387,3.492063492
475260,3.155172414
7201,3.347328244
128490,2.819787986
689231,3.295081967
73221,2.315789474
759407,3.45
38282,3.408071749
18591,3.234309623
588565,3.104651163
2839,3.329218107
660078,3.443636364
275950,3.176
816778,3.096153846
940123,3.148148148
369283,2.798418972
585628,3.365
419388,3.203463203
14718,3.312820513
725125,2.71641791
218974,3.222841226
386361,3.365145228
21130,3.115384615
908855,2.407407407
319060,2.972477064
279350,2.842857143
26525,3.389312977
913052,2.701754386
263,3.432258065
778218,3.490566038
2530,2.910714286
361944,3.37244898
8023,3.409594096
460138,2.832199546
94897,3.418518519
122041,3.431893688
790006,3.288372093
553071,3.446601942
95544,3.448275862
494741,3.334645669
5931,3.154798762
698320,2.740909091
929069,3.338842975
72086,3.308550186
23490,3.352941176
131219,3.287313433
34930,3.349753695
123892,3.217241379
793766,3.484848485
5276,3.41218638
645427,2.982683983
919405,3.423728814
49118,3.321428571
89850,2.85665529
150075,2.990963855
762805,3.293650794
294706,3.319648094
346991,3.371323529
627114,3.481818182
413314,3.372197309
181516,2.901060071
23472,3.401639344
152095,2.692307692
17816,2.76754386
63920,2.888475836
55473,2.459574468
209590,3.25177305
140921,3.490740741
883249,3.192090395
295850,3.136094675
745985,3.420212766
49443,3.147679325
845020,3.307971014
823125,2.97716895
171919,3.264957265
63879,3.27340824
22916,3.362745098
3027,3.453608247
85016,3.38028169
161480,3.076923077
228255,3.265957447
764547,2.673306773
7003,3.423566879
288475,3.191304348
203201,2.723214286
158135,3.428571429
36262,3.452488688
74764,3.470588235
158886,2.618181818
118739,3.466237942
8558,2.629496403
6740,3.282608696
56490,3.232258065
699274,3.480349345
114656,3.485623003
110132,2.460431655
373289,3.290983607
155562,3.310344828
51197,3.307692308
476752,3.470046083
286591,3.014124294
642504,3.24137931
10786,2.778280543
821852,3.281914894
643642,2.959090909
919016,3.321782178
134182,3.167647059
701919,2.924324324
630467,3.466403162
92644,3.407738095
898686,2.670886076
290523,3.007633588
676722,3.464788732
240073,3.107883817
571311,3.460093897
184707,3.185430464
507,3.148648649
8708,3.261538462
66691,2.247148289
35037,2.995098039
898692,3.191489362
174825,3.114285714
32040,3.417021277
62237,3.5
639649,2.685863874
74209,3.02189781
3382,3.097484277
9958,3.423728814
9264,3.357758621
943,2.601010101
680324,3.421296296
882541,3.405714286
173434,2.364383562
304108,2.693661972
74341,3.282051282
528,3.307228916
888009,3.419889503
8616,3.230769231
114542,2.814935065
881569,3.348314607
850115,3.253658537
658702,3.263473054
91096,2.699346405
814933,3.245810056
27191,3.238938053
157360,3.482142857
121340,3.433544304
309716,1.935483871
256774,3.345637584
893053,3.141891892
221721,1.880519481
9258,2.589211618
889874,3.483333333
106700,3.408602151
96458,3.413461538
678766,3.134502924
232047,2.660839161
236562,2.751037344
52012,3.171717172
650579,3.178571429
56076,3.251046025
790865,3.124260355
23717,3.23943662
80279,2.066889632
763072,2.838709677
64494,3.114155251
63361,3.375
95064,3.435897436
168685,3.053497942
835494,3.243781095
1037,3.17
660808,2.613259669
801828,3.438095238
457219,3.257777778
364551,3.130653266
61911,2.882562278
83677,3.349264706
129489,3.272727273
2402,3.378995434
791909,2.697959184
738508,3.148387097
